vector_id,family,amounts,N,S,sim,pairing,warmup_rounds,hhi,one_minus_hhi,pairwise_sum,gini,max_share,entropy,observed_time,absorbed,winner
0,equal,14 14 13 13 13 13,6,80,0,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1345,True,0
0,equal,14 14 13 13 13 13,6,80,1,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1271,True,2
0,equal,14 14 13 13 13 13,6,80,2,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,880,True,1
0,equal,14 14 13 13 13 13,6,80,3,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1055,True,4
0,equal,14 14 13 13 13 13,6,80,4,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1349,True,2
0,equal,14 14 13 13 13 13,6,80,5,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1646,True,5
0,equal,14 14 13 13 13 13,6,80,6,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1940,True,2
0,equal,14 14 13 13 13 13,6,80,7,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,618,True,2
0,equal,14 14 13 13 13 13,6,80,8,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1016,True,2
0,equal,14 14 13 13 13 13,6,80,9,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1439,True,2
0,equal,14 14 13 13 13 13,6,80,10,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1642,True,5
0,equal,14 14 13 13 13 13,6,80,11,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1258,True,0
0,equal,14 14 13 13 13 13,6,80,12,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,2470,True,3
0,equal,14 14 13 13 13 13,6,80,13,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1585,True,1
0,equal,14 14 13 13 13 13,6,80,14,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1945,True,1
0,equal,14 14 13 13 13 13,6,80,15,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1706,True,4
0,equal,14 14 13 13 13 13,6,80,16,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,939,True,0
