target_hhi,measured_target_hhi,sim,initial_hhi,initial_one_minus_hhi,initial_gini,initial_max_share,final_hhi,final_one_minus_hhi,final_gini,final_max_share,rounds,frozen,active_density,cluster_count,largest_cluster_fraction,interface_length,max_wealth
0.01,0.00922349248,0,0.00922349248,0.99077650752,0.10500868800000007,0.095612,0.009304384576,0.990695615424,0.6316939336,0.09552,1000,False,0.5673,792,0.03666490393090076,11743,23880
0.01,0.009223492479999996,1,0.009223492479999996,0.99077650752,0.10500868800000007,0.095612,0.009361249952,0.990638750048,0.6340710592000001,0.095812,1000,False,0.5647,899,0.030458650610943865,11850,23953
0.01,0.009223492479999993,2,0.009223492479999993,0.99077650752,0.10500868800000007,0.095612,0.009323049567999998,0.990676950432,0.630919188,0.09562,1000,False,0.5675,870,0.03718061674008811,11915,23905
0.01,0.009223492479999998,3,0.009223492479999998,0.99077650752,0.10500868800000007,0.095612,0.009301700319999998,0.99069829968,0.6307487536,0.095508,1000,False,0.5677,833,0.037343667429980625,11799,23877
0.01,0.009223492480000003,4,0.009223492480000003,0.99077650752,0.10500868800000007,0.095612,0.009330356351999998,0.990669643648,0.6317190671999999,0.095656,1000,False,0.5627,891,0.03856406610982762,11863,23914
0.01,0.009223492479999996,5,0.009223492479999996,0.99077650752,0.10500868800000007,0.095612,0.009289723423999998,0.990710276576,0.6308307808,0.095444,1000,False,0.5664,825,0.04749293785310735,11776,23861
0.01,0.00922349248,6,0.00922349248,0.99077650752,0.10500868800000007,0.095612,0.009343573792,0.990656426208,0.6351392631999999,0.095716,1000,False,0.5647,858,0.04533380556047459,11791,23929
0.01,0.00922349248,7,0.00922349248,0.99077650752,0.10500868800000007,0.095612,0.009312449759999999,0.99068755024,0.6305930408,0.095564,1000,False,0.5649,884,0.04000708089927421,11881,23891
0.01,0.009223492479999993,8,0.009223492479999993,0.99077650752,0.10500868800000007,0.095612,0.009300784448,0.990699215552,0.628987164,0.095508,1000,False,0.5701,813,0.05735835818277495,11731,23877
0.01,0.009223492479999994,9,0.009223492479999994,0.99077650752,0.10500868800000007,0.095612,0.009312633375999997,0.990687366624,0.6342246816000001,0.095556,1000,False,0.5655,889,0.0259946949602122,11794,23889
0.05,0.046087433760000025,0,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.04614745193599999,0.953852548064,0.711150444,0.214468,1000,False,0.5103,1259,0.012737605330197924,12022,53617
0.05,0.046087433760000025,1,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.04619932323200001,0.953800676768,0.7092288760000001,0.214592,1000,False,0.5105,1353,0.011557296767874634,12271,53648
0.05,0.046087433760000025,2,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.046178831776000004,0.953821168224,0.7091249488,0.214544,1000,False,0.5121,1291,0.012888107791446984,12116,53636
0.05,0.046087433760000025,3,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.046154019712,0.953845980288,0.7107890215999999,0.214484,1000,False,0.5116,1235,0.014268960125097733,12045,53621
0.05,0.046087433760000025,4,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.04618931059199999,0.9538106894080001,0.7128169144000001,0.214564,1000,False,0.5089,1283,0.02063273727647868,12062,53641
0.05,0.046087433760000025,5,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.046211132223999994,0.953788867776,0.7123616375999999,0.214616,1000,False,0.5064,1343,0.01915481832543444,12152,53654
0.05,0.046087433760000025,6,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.04619808524799999,0.953801914752,0.7100493952,0.214588,1000,False,0.5098,1365,0.01196547665751275,12246,53647
0.05,0.046087433760000025,7,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.04618687904000001,0.95381312096,0.7116136256000001,0.21456,1000,False,0.5113,1301,0.01193037355759828,12162,53640
0.05,0.046087433760000025,8,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.04616753129599998,0.9538324687040001,0.7072349048,0.21452,1000,False,0.5154,1266,0.015133876600698487,12177,53630
0.05,0.046087433760000025,9,0.046087433760000025,0.95391256624,0.22366615599999995,0.214536,0.046116316032000004,0.953883683968,0.7108288528,0.214396,1000,False,0.5103,1286,0.02586713697824809,12100,53599
0.09,0.08295096531200001,0,0.08295096531200001,0.917049034688,0.2941338672,0.287924,0.083074801696,0.916925198304,0.7563758368,0.287996,1000,False,0.4753,1600,0.009046917736166631,12284,71999
0.09,0.08295096531200002,1,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.08301788905599998,0.9169821109440001,0.7532767352,0.2879,1000,False,0.4791,1545,0.0064704654560634525,12172,71975
0.09,0.08295096531200002,2,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.083163207968,0.916836792032,0.7535955696000001,0.288152,1000,False,0.4755,1586,0.008412197686645636,12221,72038
0.09,0.08295096531200002,3,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.08304373107199998,0.916956268928,0.754100832,0.287944,1000,False,0.4768,1563,0.00964765100671141,12191,71986
0.09,0.08295096531200002,4,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.08306043801600002,0.916939561984,0.7511863344,0.287976,1000,False,0.4823,1543,0.006012855069458843,12292,71994
0.09,0.08295096531200002,5,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.083081266912,0.916918733088,0.7553880768000001,0.288008,1000,False,0.4725,1581,0.013544973544973546,12137,72002
