p,sim,local_edges,nonlocal_edges,mean_degree,rounds,absorbed,frozen,capped,local_matches,nonlocal_matches,realized_nonlocal_match_fraction,final_active_density,final_cluster_count,final_largest_cluster_fraction,final_interface_length,winner_site
0.04,0,264,12,3.8333333333333335,50,False,False,True,2023,59,0.028338136407300672,0.5416666666666666,20,0.23076923076923078,162,-1
0.04,1,264,2,3.6944444444444446,50,False,False,True,2283,10,0.00436109899694723,0.5486111111111112,14,0.26582278481012656,145,-1
0.08,0,264,11,3.8194444444444446,50,False,False,True,2218,61,0.02676612549363756,0.5694444444444444,18,0.2682926829268293,154,-1
0.08,1,264,7,3.763888888888889,50,False,False,True,2117,40,0.01854427445526194,0.5277777777777778,19,0.2894736842105263,151,-1
