p,sim,local_edges,nonlocal_edges,mean_degree,rounds,absorbed,frozen,capped,local_matches,nonlocal_matches,realized_nonlocal_match_fraction,final_active_density,final_cluster_count,final_largest_cluster_fraction,final_interface_length,winner_site
0.12,0,19800,1161,4.1922,24150,False,True,False,2081506,87952,0.040541001485163576,0.2482,2482,0.00040290088638195,9817,-1
0.12,1,19800,1227,4.2054,27047,False,True,False,1954924,133531,0.06393769556921265,0.2514,2514,0.0003977724741447892,9942,-1
0.12,2,19800,1200,4.2,13271,False,True,False,1972983,121736,0.05811567088473442,0.2519,2519,0.0003969829297340214,9955,-1
0.12,3,19800,1170,4.194,15182,False,True,False,2010254,116949,0.054977827692044436,0.253,2530,0.0003952569169960474,9999,-1
0.12,4,19800,1181,4.1962,20873,False,True,False,2000394,100045,0.04763051914385517,0.2525,2525,0.00039603960396039607,9979,-1
0.12,5,19800,1208,4.2016,12610,False,True,False,1963839,109644,0.05287914103949731,0.2467,2467,0.00040535062829347385,9752,-1
0.12,6,19800,1229,4.2058,14442,False,True,False,1947875,103835,0.0506090041964995,0.2521,2521,0.0003966679888932963,9964,-1
0.12,7,19800,1143,4.1886,19700,False,True,False,2081971,127654,0.0577717938564236,0.249,2490,0.00040160642570281126,9847,-1
0.12,8,19800,1177,4.1954,17676,False,True,False,2020224,105001,0.049407003964286135,0.2505,2505,0.0003992015968063872,9907,-1
0.12,9,19800,1255,4.211,13407,False,True,False,1960957,143937,0.0683820657952372,0.2509,2509,0.00039856516540454366,9919,-1
0.13999999999999999,0,19800,1390,4.238,18049,False,True,False,1954187,129757,0.06226510885129351,0.2504,2504,0.00039936102236421724,9895,-1
0.13999999999999999,1,19800,1352,4.2304,16797,False,True,False,1943269,119261,0.057822674094437414,0.2504,2504,0.00039936102236421724,9897,-1
0.13999999999999999,2,19800,1382,4.2364,16795,False,True,False,1934122,145034,0.0697561895307519,0.2526,2526,0.000395882818685669,9984,-1
0.13999999999999999,3,19800,1372,4.2344,10193,False,True,False,1929628,144515,0.06967455956508302,0.2512,2512,0.0003980891719745223,9921,-1
0.13999999999999999,4,19800,1358,4.2316,19999,False,True,False,1967527,157325,0.07404045081728045,0.2488,2488,0.00040192926045016077,9838,-1
0.13999999999999999,5,19800,1427,4.2454,26568,False,True,False,2075395,134787,0.06098457050143382,0.2462,2462,0.00040617384240454913,9730,-1
0.13999999999999999,6,19800,1407,4.2414,17799,False,True,False,2017254,124735,0.05823325890095608,0.2489,2489,0.0004017677782241864,9821,-1
0.13999999999999999,7,19800,1393,4.2386,21715,False,True,False,1999030,190056,0.08681979602445952,0.2499,2499,0.00040016006402561027,9877,-1
0.13999999999999999,8,19800,1398,4.2396,17439,False,True,False,2049064,140991,0.06437783525984507,0.2491,2491,0.0004014452027298274,9832,-1
0.13999999999999999,9,19800,1400,4.24,20225,False,True,False,1995430,151879,0.07072992289418989,0.2511,2511,0.00039824771007566706,9924,-1
0.15999999999999998,0,19800,1647,4.2894,26294,False,True,False,2036315,172208,0.07797428417091423,0.2445,2445,0.00040899795501022495,9665,-1
0.15999999999999998,1,19800,1676,4.2952,15783,False,True,False,1986059,134483,0.06341916359119508,0.245,2450,0.00040816326530612246,9683,-1
0.15999999999999998,2,19800,1610,4.282,20836,False,True,False,1899672,194575,0.09290928911441679,0.2497,2497,0.00040048057669203043,9876,-1
0.15999999999999998,3,19800,1557,4.2714,15575,False,True,False,2024255,168935,0.07702707015808023,0.2467,2467,0.00040535062829347385,9757,-1
0.15999999999999998,4,19800,1591,4.2782,15509,False,True,False,1999834,172079,0.07922923247846483,0.2488,2488,0.00040192926045016077,9821,-1
0.15999999999999998,5,19800,1545,4.269,12130,False,True,False,1949685,125602,0.06052271324399951,0.2539,2539,0.00039385584875935406,10040,-1
0.15999999999999998,6,19800,1640,4.288,23346,False,True,False,2022450,165607,0.07568678512488478,0.249,2490,0.00040160642570281126,9838,-1
0.15999999999999998,7,19800,1576,4.2752,18162,False,True,False,1973224,157868,0.0740784536753927,0.2459,2459,0.00040666937779585197,9715,-1
0.15999999999999998,8,19800,1540,4.268,17069,False,True,False,1959068,144176,0.06854934567743923,0.2467,2467,0.00040535062829347385,9751,-1
0.15999999999999998,9,19800,1572,4.2744,14061,False,True,False,2024930,143913,0.06635473383735015,0.2476,2476,0.0004038772213247173,9789,-1
0.18,0,19800,1802,4.3204,20117,False,True,False,1920228,199619,0.09416670165346838,0.248,2480,0.0004032258064516129,9795,-1
0.18,1,19800,1790,4.318,23779,False,True,False,2095626,180166,0.07916628584686122,0.2416,2416,0.0004139072847682119,9548,-1
0.18,2,19800,1803,4.3206,18549,False,True,False,2051441,219496,0.09665437658552395,0.2458,2458,0.0004068348250610252,9713,-1
0.18,3,19800,1817,4.3234,17996,False,True,False,1955368,194678,0.09054596971413635,0.2464,2464,0.00040584415584415587,9735,-1
0.18,4,19800,1749,4.3098,17465,False,True,False,1968958,166319,0.07789106518732698,0.2457,2457,0.000407000407000407,9711,-1
0.18,5,19800,1756,4.3112,35723,False,True,False,2029195,221540,0.09843006839987826,0.2468,2468,0.0004051863857374392,9748,-1
0.18,6,19800,1819,4.3238,15744,False,True,False,1888504,158820,0.07757443374863969,0.2497,2497,0.00040048057669203043,9864,-1
0.18,7,19800,1835,4.327,20791,False,True,False,1974700,192983,0.08902731626349425,0.251,2510,0.00039840637450199205,9923,-1
0.18,8,19800,1812,4.3224,15415,False,True,False,1952150,178211,0.08365295834837382,0.2463,2463,0.0004060089321965083,9740,-1
